Epoch 1/10 | loss: 0.3873 | train_acc: 0.9528 | val_acc: 0.9482 | val_f1: 0.9471
Epoch 2/10 | loss: 0.1441 | train_acc: 0.9652 | val_acc: 0.9600 | val_f1: 0.9590
Epoch 3/10 | loss: 0.1007 | train_acc: 0.9745 | val_acc: 0.9682 | val_f1: 0.9676
Epoch 4/10 | loss: 0.0791 | train_acc: 0.9791 | val_acc: 0.9683 | val_f1: 0.9678
Epoch 5/10 | loss: 0.0619 | train_acc: 0.9829 | val_acc: 0.9685 | val_f1: 0.9681
Epoch 6/10 | loss: 0.0503 | train_acc: 0.9862 | val_acc: 0.9727 | val_f1: 0.9722
Epoch 7/10 | loss: 0.0413 | train_acc: 0.9904 | val_acc: 0.9728 | val_f1: 0.9724
Epoch 8/10 | loss: 0.0331 | train_acc: 0.9930 | val_acc: 0.9763 | val_f1: 0.9758
Epoch 9/10 | loss: 0.0286 | train_acc: 0.9946 | val_acc: 0.9742 | val_f1: 0.9739
Epoch 10/10 | loss: 0.0224 | train_acc: 0.9953 | val_acc: 0.9765 | val_f1: 0.9761
optim_momentum: test_acc=0.9781 | test_f1=0.9780
