Epoch 1/10 | loss: 0.3822 | train_acc: 0.9480 | val_acc: 0.9468 | val_f1: 0.9455
Epoch 2/10 | loss: 0.1521 | train_acc: 0.9685 | val_acc: 0.9663 | val_f1: 0.9657
Epoch 3/10 | loss: 0.1075 | train_acc: 0.9782 | val_acc: 0.9722 | val_f1: 0.9715
Epoch 4/10 | loss: 0.0829 | train_acc: 0.9814 | val_acc: 0.9713 | val_f1: 0.9710
Epoch 5/10 | loss: 0.0647 | train_acc: 0.9847 | val_acc: 0.9712 | val_f1: 0.9704
Epoch 6/10 | loss: 0.0527 | train_acc: 0.9877 | val_acc: 0.9727 | val_f1: 0.9722
Epoch 7/10 | loss: 0.0421 | train_acc: 0.9838 | val_acc: 0.9708 | val_f1: 0.9703
Epoch 8/10 | loss: 0.0361 | train_acc: 0.9929 | val_acc: 0.9768 | val_f1: 0.9764
Epoch 9/10 | loss: 0.0294 | train_acc: 0.9945 | val_acc: 0.9783 | val_f1: 0.9779
Epoch 10/10 | loss: 0.0242 | train_acc: 0.9958 | val_acc: 0.9768 | val_f1: 0.9764
optim_nag: test_acc=0.9749 | test_f1=0.9748
