Epoch 1/10 | loss: 1.0414 | train_acc: 0.8809 | val_acc: 0.8853 | val_f1: 0.8827
Epoch 2/10 | loss: 0.3637 | train_acc: 0.9079 | val_acc: 0.9123 | val_f1: 0.9103
Epoch 3/10 | loss: 0.2962 | train_acc: 0.9206 | val_acc: 0.9237 | val_f1: 0.9218
Epoch 4/10 | loss: 0.2575 | train_acc: 0.9327 | val_acc: 0.9357 | val_f1: 0.9342
Epoch 5/10 | loss: 0.2294 | train_acc: 0.9384 | val_acc: 0.9385 | val_f1: 0.9373
Epoch 6/10 | loss: 0.2074 | train_acc: 0.9445 | val_acc: 0.9447 | val_f1: 0.9436
Epoch 7/10 | loss: 0.1891 | train_acc: 0.9486 | val_acc: 0.9473 | val_f1: 0.9463
Epoch 8/10 | loss: 0.1741 | train_acc: 0.9532 | val_acc: 0.9520 | val_f1: 0.9510
Epoch 9/10 | loss: 0.1613 | train_acc: 0.9556 | val_acc: 0.9548 | val_f1: 0.9539
Epoch 10/10 | loss: 0.1508 | train_acc: 0.9598 | val_acc: 0.9592 | val_f1: 0.9583
optim_sgd: test_acc=0.9563 | test_f1=0.9559
