Epoch 1/10 | loss: 0.4156 | train_acc: 0.9451 | val_acc: 0.9413 | val_f1: 0.9404
Epoch 2/10 | loss: 0.2540 | train_acc: 0.9410 | val_acc: 0.9365 | val_f1: 0.9363
Epoch 3/10 | loss: 0.2401 | train_acc: 0.9513 | val_acc: 0.9457 | val_f1: 0.9444
Epoch 4/10 | loss: 0.2344 | train_acc: 0.9451 | val_acc: 0.9400 | val_f1: 0.9392
Epoch 5/10 | loss: 0.2154 | train_acc: 0.9669 | val_acc: 0.9588 | val_f1: 0.9581
Epoch 6/10 | loss: 0.2328 | train_acc: 0.9614 | val_acc: 0.9570 | val_f1: 0.9563
Epoch 7/10 | loss: 0.2270 | train_acc: 0.9583 | val_acc: 0.9518 | val_f1: 0.9509
Epoch 8/10 | loss: 0.2268 | train_acc: 0.9473 | val_acc: 0.9388 | val_f1: 0.9384
Epoch 9/10 | loss: 0.2410 | train_acc: 0.9599 | val_acc: 0.9518 | val_f1: 0.9519
Epoch 10/10 | loss: 0.2497 | train_acc: 0.9624 | val_acc: 0.9527 | val_f1: 0.9527
optim_rmsprop: test_acc=0.9621 | test_f1=0.9618
